Village,Date,Region,Year,Total Deaths,Latitude,Longitude,Province
"Sur Pul, near Parachinar",2/16/2009,Kurram,2009,31,33.683212,70.290527,Federally Administered Tribal Areas
"Sararogha, near Wana",3/1/2009,South Waziristan,2009,12,32.49065,70.004883,Federally Administered Tribal Areas
Barjo,3/12/2009,Kurram,2009,24,33.808819,70.279541,Federally Administered Tribal Areas
"Jani Khel, Bannu",3/15/2009,Khyber Pakhtunkhwa,2009,5,32.797665,70.496521,Khyber Pakhtunkhwa
Makeen,3/25/2009,South Waziristan,2009,7,32.616241,69.848328,Federally Administered Tribal Areas
"Sokhel, Mir Ali",3/26/2009,North Waziristan,2009,5,32.966618,70.32074,Federally Administered Tribal Areas
Khadezai,4/1/2009,Orakzai,2009,14,33.672928,70.911255,Federally Administered Tribal Areas
"Datta Khel, near Miram Shah",4/4/2009,North Waziristan,2009,15,32.984474,69.715805,Federally Administered Tribal Areas
Wana,4/8/2009,South Waziristan,2009,4,32.321957,69.586716,Federally Administered Tribal Areas
"Gangi Khel, outskirts of Wana",4/19/2009,South Waziristan,2009,8,32.281906,69.553757,Federally Administered Tribal Areas
"Kaniguram, near Wana",4/29/2009,South Waziristan,2009,6,32.520184,69.783783,Federally Administered Tribal Areas
"Tabbi Langar Khel, near Sarorogha",5/9/2009,South Waziristan,2009,20,32.479645,70.018616,Federally Administered Tribal Areas
"Sara Khwara, 25 km west of Wana",5/12/2009,South Waziristan,2009,10,32.298161,69.349136,Federally Administered Tribal Areas
"Khesoor, 18 miles east of Miram Shah",5/16/2009,North Waziristan,2009,40,33.005211,70.272675,Federally Administered Tribal Areas
"Mardar Algad, Ladha",6/14/2009,South Waziristan,2009,5,32.524815,69.883347,Federally Administered Tribal Areas
"Shah Alam, Birmal, near Wana",6/18/2009,South Waziristan,2009,11,32.288876,69.608688,Federally Administered Tribal Areas
"Raghzai area, near Wana",6/18/2009,South Waziristan,2009,9,32.334141,69.568176,Federally Administered Tribal Areas
"Neej Narai, outside Makeen",6/23/2009,South Waziristan,2009,6,32.609882,69.833221,Federally Administered Tribal Areas
Makeen,6/23/2009,South Waziristan,2009,80,32.622604,69.852448,Federally Administered Tribal Areas
Mantoi area,7/3/2009,South Waziristan,2009,10,32.592525,69.599075,Federally Administered Tribal Areas
"Zamarai Nairai, near Kokat Khel, 28 miles east of Wana",7/3/2009,South Waziristan,2009,35,32.285973,69.988403,Federally Administered Tribal Areas
"Jangara, Makeen",7/7/2009,South Waziristan,2009,16,32.623184,69.841461,Federally Administered Tribal Areas
"Laddha, Karwan Manza",7/8/2009,South Waziristan,2009,10,32.52771,69.855881,Federally Administered Tribal Areas
Karwan Manza,7/8/2009,South Waziristan,2009,40,32.52771,69.863434,Federally Administered Tribal Areas
Painda Khel,7/10/2009,South Waziristan,2009,5,32.320793,69.623795,Federally Administered Tribal Areas
"Gariwan, 19 miles south of Miram Shah",7/17/2009,North Waziristan,2009,5,32.704109,70.063934,Federally Administered Tribal Areas
Zangra village of Ladha,8/5/2009,South Waziristan,2009,12,32.582691,69.849014,Federally Administered Tribal Areas
"Kani Guram, four miles from Ladha",8/11/2009,South Waziristan,2009,14,32.524239,69.794769,Federally Administered Tribal Areas
"Darpa Khel, outside Miram Shah",8/21/2009,North Waziristan,2009,21,33.003483,70.031662,Federally Administered Tribal Areas
Tapar Ghai areain the Kanigram district,8/27/2009,South Waziristan,2009,8,32.509182,69.798889,Federally Administered Tribal Areas
"Machi Khel, near Mir Ali",9/7/2009,North Waziristan,2009,7,32.995419,70.31662,Federally Administered Tribal Areas
"Dargamandi village, 3 miles northwest of Miram Shah",9/8/2009,North Waziristan,2009,10,33.046082,70.019989,Federally Administered Tribal Areas
"Toori Khel, near Mir Ali",9/14/2009,North Waziristan,2009,6,32.959129,70.287094,Federally Administered Tribal Areas
Near Mir Ali,9/24/2009,North Waziristan,2009,12,32.97123,70.245895,Federally Administered Tribal Areas
Sararogha,9/29/2009,South Waziristan,2009,6,32.493546,70.023422,Federally Administered Tribal Areas
Danda Darpakhel,9/29/2009,North Waziristan,2009,7,32.997723,70.041962,Federally Administered Tribal Areas
"Norak, 12 miles east of Miram Shah",9/30/2009,North Waziristan,2009,9,32.989082,70.328293,Federally Administered Tribal Areas
Dandey Darpa Khel,10/15/2009,North Waziristan,2009,4,32.989658,70.030975,Federally Administered Tribal Areas
Spalaga,10/21/2009,North Waziristan,2009,4,32.8935,69.6955,Federally Administered Tribal Areas
Damadola Bajaur,10/24/2009,Khyber Pakhtunkhwa,2009,24,34.818878,71.500397,Khyber Pakhtunkhwa
"Norak, near Mir Ali",11/5/2009,North Waziristan,2009,4,33.0116,70.0557,Federally Administered Tribal Areas
"Shanakhora, 12 miles west of Miram Shah",11/18/2009,North Waziristan,2009,4,33.010967,69.831848,Federally Administered Tribal Areas
Palooseen Village in Mir Ali,11/20/2009,North Waziristan,2009,8,33.002331,70.290527,Federally Administered Tribal Areas
"Aspalga Village, 7 miles southeast of Miram Shah",12/8/2009,North Waziristan,2009,3,32.869205,70.133972,Federally Administered Tribal Areas
Deegan village,12/17/2009,North Waziristan,2009,14,32.821903,69.979477,Federally Administered Tribal Areas
"Godaivalla, in Datta Khel",12/17/2009,North Waziristan,2009,18,32.989082,69.693146,Federally Administered Tribal Areas
"Babrak Ziarat, near Wazgai village of Datta Khel Tehsil",12/18/2009,North Waziristan,2009,8,32.98505,69.739151,Federally Administered Tribal Areas
"Babar Raghzai area of the Saidgi village, 4 miles north of Miram Shah",12/26/2009,North Waziristan,2009,14,33.07716,70.069427,Federally Administered Tribal Areas
"Machi Khel, 20 km west of Miram Shah",12/31/2009,North Waziristan,2009,5,33.009815,69.808502,Federally Administered Tribal Areas
"Ghundikala village, 15 km east of Miram Shah, in Mir Ali Tehsil",1/1/2010,North Waziristan,2010,3,32.994267,70.207443,Federally Administered Tribal Areas
"Mosakki village, 25 km east of Miram Shah, in Mir Ali Tehsil",1/3/2010,North Waziristan,2010,2,32.997723,70.342026,Federally Administered Tribal Areas
Sanzali area of Datta Khel,1/6/2010,North Waziristan,2010,25,32.983898,69.75769,Federally Administered Tribal Areas
"Tapi Village, near Miram Shah",1/8/2010,North Waziristan,2010,8,33.003483,70.015182,Federally Administered Tribal Areas
Ismael Khel in Datta Khel region,1/9/2010,North Waziristan,2010,4,32.991962,69.730911,Federally Administered Tribal Areas
Shaktoi village in the Pasalkot region,1/14/2010,North Waziristan,2010,18,32.669147,70.156975,Federally Administered Tribal Areas
"Zanini Village, near Mir Ali",1/15/2010,North Waziristan,2010,5,32.940117,70.296021,Federally Administered Tribal Areas
"Bichi village, Mirkhwanai area, near Shaktoi",1/15/2010,North Waziristan,2010,6,32.667992,70.144958,Federally Administered Tribal Areas
"Nizba Village, Shaktoi region",1/17/2010,South Waziristan,2010,20,32.659031,70.150452,Federally Administered Tribal Areas
"Deegan, 18 miles west of Miram Shah",1/19/2010,North Waziristan,2010,6,32.972958,69.700012,Federally Administered Tribal Areas
"Muhammad Khel, Datta Khel",1/29/2010,North Waziristan,2010,15,33.001755,69.713058,Federally Administered Tribal Areas
"Toor Narai village, Datta Khel, 30km west of Miram Shah",2/2/2010,North Waziristan,2010,7,32.9989,69.9534,Federally Administered Tribal Areas
Pai Khel,2/2/2010,North Waziristan,2010,7,33.0023,69.8696,Federally Administered Tribal Areas
Muhammad Khel,2/2/2010,North Waziristan,2010,7,32.5725,69.5306,Federally Administered Tribal Areas
"Deegan, 18 miles west of Miram Shah",2/2/2010,North Waziristan,2010,8,32.976414,69.728165,Federally Administered Tribal Areas
Mir Ali,2/14/2010,North Waziristan,2010,9,32.963161,70.241776,Federally Administered Tribal Areas
"Tapi Village, 9 miles east of Miram Shah",2/15/2010,North Waziristan,2010,4,32.987354,70.280914,Federally Administered Tribal Areas
"Tabi Tolkhel, 3 miles from Khost border OR Tapi, 9 miles east of Miram Shah",2/17/2010,North Waziristan,2010,4,32.997723,70.18959,Federally Administered Tribal Areas
"Dandey Darpa Khel, near Miram Shah",2/18/2010,North Waziristan,2010,4,33.015572,70.052605,Federally Administered Tribal Areas
"Dargi Mandi, 2.5 miles north of Miram Shah",2/24/2010,North Waziristan,2010,14,33.042629,70.061188,Federally Administered Tribal Areas
Maley Khan Sirai area of Miram Shah,3/8/2010,North Waziristan,2010,5,33.005783,70.090027,Federally Administered Tribal Areas
"Mizar Madakhel, 25-31 miles west of Miram Shah",3/10/2010,North Waziristan,2010,21,32.997147,69.616241,Federally Administered Tribal Areas
"Datta Khel, 12 miles west of Miram Shah",3/16/2010,North Waziristan,2010,11,32.991386,69.742584,Federally Administered Tribal Areas
"Mada Khel, 25 miles west of Miram Shah",3/17/2010,North Waziristan,2010,6,32.995995,69.625854,Federally Administered Tribal Areas
"Hamzoni, 6 miles west of Miram Shah",3/17/2010,North Waziristan,2010,5,33.013271,69.938965,Federally Administered Tribal Areas
Lowari Mandi area of Datta Khel,3/21/2010,North Waziristan,2010,8,32.995995,69.682159,Federally Administered Tribal Areas
"Machis, outskirts of Miram Shah",3/23/2010,North Waziristan,2010,6,32.985626,70.054321,Federally Administered Tribal Areas
"Hurmaz, near Mir Ali",3/28/2010,North Waziristan,2010,4,32.96777,70.253448,Federally Administered Tribal Areas
"Tapi Village, 13 miles east of Miram Shah",3/31/2010,North Waziristan,2010,6,32.997147,70.302887,Federally Administered Tribal Areas
"Boya village, 12 miles west of Miram Shah",4/12/2010,North Waziristan,2010,13,33.024784,69.823608,Federally Administered Tribal Areas
"Ambur Shaga Village, 15 miles west of Miram Shah",4/14/2010,North Waziristan,2010,5,33.004059,69.752197,Federally Administered Tribal Areas
"Toorkhel, suburbs of Miram Shah",4/16/2010,North Waziristan,2010,6,32.998299,70.119553,Federally Administered Tribal Areas
"Machi Khel, 12 miles east of Miram Shah",4/24/2010,North Waziristan,2010,8,32.978718,70.327606,Federally Administered Tribal Areas
"Khushali Toorkhel, 15 miles east of Miram Shah",4/26/2010,North Waziristan,2010,6,32.972958,70.350952,Federally Administered Tribal Areas
"Marsi Khel, near Mir Ali",5/3/2010,North Waziristan,2010,6,32.990234,70.315933,Federally Administered Tribal Areas
"Inzarkas village, Datta Khel",5/9/2010,North Waziristan,2010,10,32.997147,69.672546,Federally Administered Tribal Areas
"Gorwek, near Afghan border",5/11/2010,North Waziristan,2010,10,32.994267,69.558563,Federally Administered Tribal Areas
"Doga area, Datta Khel",5/11/2010,North Waziristan,2010,14,32.995995,69.704819,Federally Administered Tribal Areas
"Ragha area, Tirah Valley",5/15/2010,Khyber,2010,15,33.881817,70.85907,Khyber Pakhtunkhwa
Asadabad village of Muhammad Khel area of Datta Khel,5/21/2010,North Waziristan,2010,12,32.989082,69.716492,Federally Administered Tribal Areas
"Mizai Nari, 38 km west of Wana",5/28/2010,South Waziristan,2010,12,32.292938,69.304504,Federally Administered Tribal Areas
"Khaddi village, nine miles east of Miram Shah",6/10/2010,North Waziristan,2010,3,32.97987,70.287094,Federally Administered Tribal Areas
"Datta Khel, 12 miles west of Miram Shah",6/11/2010,North Waziristan,2010,9,32.997147,69.656754,Federally Administered Tribal Areas
"Sokhel village, 16 miles east of Miram Shah",6/19/2010,North Waziristan,2010,16,32.981022,70.293274,Federally Administered Tribal Areas
"Khushali Khel, Mir Ali,",6/26/2010,North Waziristan,2010,3,32.974686,70.278168,Federally Administered Tribal Areas
"Tabbi Tolkhel, 4 km north of Miram Shah",6/27/2010,North Waziristan,2010,6,33.021908,70.072174,Federally Administered Tribal Areas
"Lamal village, near Karikot, 6 miles SW of Wana",6/29/2010,South Waziristan,2010,10,32.234295,69.530411,Federally Administered Tribal Areas
"Sheerani, Mada Khel",7/15/2010,North Waziristan,2010,14,32.995419,69.77211,Federally Administered Tribal Areas
"Dwasarak village, 25 miles west of Wana, near Angoor Adda",7/24/2010,South Waziristan,2010,18,32.45068,69.277039,Federally Administered Tribal Areas
Landikhel area of Sararogha,7/25/2010,South Waziristan,2010,4,32.49297,70.037155,Federally Administered Tribal Areas
"Tabbi Tolkhel, 4 km north of Miram Shah",7/25/2010,North Waziristan,2010,7,33.027664,70.069427,Federally Administered Tribal Areas
Shaktoi village in the Pasalkot region,7/25/2010,South Waziristan,2010,14,32.66597,70.161438,Federally Administered Tribal Areas
"Issori, 13 miles east of Miram Shah",8/14/2010,North Waziristan,2010,14,32.990234,70.31868,Federally Administered Tribal Areas
"Kutabkhel village, 3 km south of Miram Shah",8/21/2010,North Waziristan,2010,6,32.983898,70.059128,Federally Administered Tribal Areas
Derga Mandy,8/23/2010,North Waziristan,2010,5,33.0155,70.056,Federally Administered Tribal Areas
Danday Darpa Khel,8/23/2010,North Waziristan,2010,20,33.028816,70.046082,Federally Administered Tribal Areas
"Shahidano village, 62 miles southwest of Peshawar",8/27/2010,Kurram,2010,4,33.680923,70.41687,Federally Administered Tribal Areas
"Datta Khel, 12 miles west of Miram Shah",9/3/2010,North Waziristan,2010,7,32.994267,69.777603,Federally Administered Tribal Areas
Machis Factory area on outskirts of Miram Shah,9/3/2010,North Waziristan,2010,25,33.018452,70.098953,Federally Administered Tribal Areas
Datta Khel,9/4/2010,North Waziristan,2010,8,32.983898,69.751511,Federally Administered Tribal Areas
near Miramshah,9/4/2010,North Waziristan,2010,6,33.0047,70.0675,Federally Administered Tribal Areas
"Khar Qamar, a village in Datta Khel",9/6/2010,North Waziristan,2010,6,32.977566,69.711685,Federally Administered Tribal Areas
"Ambor Shaga on Dattakhel Road, near the border",9/8/2010,North Waziristan,2010,4,32.996571,69.526291,Federally Administered Tribal Areas
Dargha Mandi at Ghulam Khan Road area,9/8/2010,North Waziristan,2010,6,32.995419,70.015182,Federally Administered Tribal Areas
Danday Darpakhel,9/8/2010,North Waziristan,2010,10,33.027664,70.017242,Federally Administered Tribal Areas
Outskirts of Miram Shah,9/9/2010,North Waziristan,2010,6,33.008087,70.061874,Federally Administered Tribal Areas
Datta Khel,9/12/2010,North Waziristan,2010,6,32.986202,69.685593,Federally Administered Tribal Areas
"Bushnarai village, Shawal",9/14/2010,North Waziristan,2010,12,33.021908,69.656754,Federally Administered Tribal Areas
"Qutabkhel village, a southern suburb of Miranshah",9/14/2010,North Waziristan,2010,4,32.98505,70.076981,Federally Administered Tribal Areas
Payekhel village of Dattakhel district,9/15/2010,North Waziristan,2010,7,33.008663,69.76181,Federally Administered Tribal Areas
"Dargah Mandi, outskirts of Miram Shah",9/15/2010,North Waziristan,2010,14,33.02018,70.029602,Federally Administered Tribal Areas
"Deghan, Datta Khel,",9/19/2010,North Waziristan,2010,5,32.974972,69.686279,Federally Administered Tribal Areas
"Darazinda village, 25 miles northeast of Miram Shah",9/20/2010,North Waziristan,2010,9,33.070827,69.701385,Federally Administered Tribal Areas
"Azam Warsak, 6 miles NW of Wana",9/21/2010,South Waziristan,2010,7,32.344002,69.66568,Federally Administered Tribal Areas
"Khund, South Waziristan border with Afghanistan",9/21/2010,South Waziristan,2010,7,32.46806,69.300385,Federally Administered Tribal Areas
"Datta Khel, 12 miles west of Miram Shah",9/25/2010,North Waziristan,2010,4,32.987354,69.66774,Federally Administered Tribal Areas
"Tarmanu Road, 31 miles west of Miram Shah",9/26/2010,North Waziristan,2010,5,32.979294,69.664307,Federally Administered Tribal Areas
Lawara Mandi area of Datta Khel,9/26/2010,North Waziristan,2010,4,32.978718,69.6698,Federally Administered Tribal Areas
Sherani area of Datta Khel,9/26/2010,North Waziristan,2010,4,32.987354,69.66774,Federally Administered Tribal Areas
"Khush Hali, southeast of Miram Shah",9/27/2010,North Waziristan,2010,4,32.98505,70.014153,Federally Administered Tribal Areas
"Zeba village, west of Wana",9/28/2010,South Waziristan,2010,4,32.472694,69.274979,Federally Administered Tribal Areas
"Inzarkas village, Datta Khel",10/2/2010,North Waziristan,2010,9,32.990234,69.631348,Federally Administered Tribal Areas
"Asar village, Datta Khel",10/2/2010,North Waziristan,2010,10,32.98793,69.640961,Federally Administered Tribal Areas
Mir Ali,10/4/2010,North Waziristan,2010,12,32.981022,70.256882,Federally Administered Tribal Areas
Mir Ali,10/6/2010,North Waziristan,2010,5,32.966042,70.274734,Federally Administered Tribal Areas
Miram Shah,10/6/2010,North Waziristan,2010,6,33.012695,70.10788,Federally Administered Tribal Areas
"Khaisoori town, Mir Ali",10/7/2010,North Waziristan,2010,4,32.975838,70.261688,Federally Administered Tribal Areas
"Charkhel, in Datta Khel",10/8/2010,North Waziristan,2010,9,32.984188,69.696922,Federally Administered Tribal Areas
"Spin Wam refugee camp, outside Mir Ali",10/10/2010,North Waziristan,2010,8,32.99081,70.304604,Federally Administered Tribal Areas
"Inzarkas village, Datta Khel",10/13/2010,North Waziristan,2010,11,32.992538,69.654007,Federally Administered Tribal Areas
Aziz Khel,10/15/2010,North Waziristan,2010,6,32.970654,70.293961,Federally Administered Tribal Areas
"Machi Khel, near Mir Ali",10/15/2010,North Waziristan,2010,5,32.97987,70.232849,Federally Administered Tribal Areas
Sanzali area of Datta Khel,10/18/2010,North Waziristan,2010,7,32.976414,69.733658,Federally Administered Tribal Areas
Deegan area of Datta Khel,10/27/2010,North Waziristan,2010,4,32.997147,69.697952,Federally Administered Tribal Areas
"Spin Wam, near Mir Ali",10/27/2010,North Waziristan,2010,5,32.986778,70.315247,Federally Administered Tribal Areas
"Ismail Khel, in Datta Khel",10/28/2010,North Waziristan,2010,11,32.994843,69.726791,Federally Administered Tribal Areas
"Hyder Khel, near Mir Ali",11/1/2010,North Waziristan,2010,6,32.97382,70.312157,Federally Administered Tribal Areas
"Qutub Khel, near Miram Shah",11/3/2010,North Waziristan,2010,5,33.021332,70.013123,Federally Administered Tribal Areas
"Pai Khel village, in Datta Khel",11/3/2010,North Waziristan,2010,4,32.97987,69.643707,Federally Administered Tribal Areas
"Khaso Khel village, near Mir Ali",11/3/2010,North Waziristan,2010,4,32.962009,70.333786,Federally Administered Tribal Areas
"Moizer town, Datta Khel",11/7/2010,North Waziristan,2010,6,32.98217,69.627914,Federally Administered Tribal Areas
"Ghulam Khan, north of Miram Shah",11/7/2010,North Waziristan,2010,9,33.05817,70.080414,Federally Administered Tribal Areas
"Gulli Khel village, Ghulam Khan, 8 miles from Miram Shah",11/11/2010,North Waziristan,2010,7,33.027664,69.741898,Federally Administered Tribal Areas
"Ahmad Khel, 15 miles west of Miram Shah",11/13/2010,North Waziristan,2010,4,33.006935,69.820518,Federally Administered Tribal Areas
"Ghulam Khan, 20 km north of Miram Shah",11/16/2010,North Waziristan,2010,20,33.106499,70.053635,Federally Administered Tribal Areas
"Naurak, near Marsi Khel village, nine miles east of Miram Shah",11/19/2010,North Waziristan,2010,4,32.985626,70.342026,Federally Administered Tribal Areas
"Khaddi, 10 miles east of Miram Shah",11/21/2010,North Waziristan,2010,9,32.962585,70.276794,Federally Administered Tribal Areas
"Khushali, 15 miles east of Miram Shah",11/22/2010,North Waziristan,2010,6,32.97094,70.349403,Federally Administered Tribal Areas
"Pir Keley, six miles east of Miram Shah",11/26/2010,North Waziristan,2010,4,32.993114,70.196457,Federally Administered Tribal Areas
"Hasan Khel, 30 km east of Miram Shah",11/28/2010,North Waziristan,2010,4,32.984474,70.377045,Federally Administered Tribal Areas
"Khysore village, 20 miles east of Miram Shah",12/6/2010,North Waziristan,2010,7,32.983322,70.405884,Federally Administered Tribal Areas
"Khadar Khel, near Mir Ali",12/10/2010,North Waziristan,2010,4,32.972958,70.400391,Federally Administered Tribal Areas
"Spalga, nine miles south of Miram Shah",12/14/2010,North Waziristan,2010,4,33.033997,70.19989,Federally Administered Tribal Areas
Spin Drand area of the Tirah Valley,12/16/2010,Khyber,2010,7,33.804256,70.736847,Khyber Pakhtunkhwa
"Sippah village, near Spin Drand in the Tirah Valley",12/17/2010,Khyber,2010,32,33.795128,70.768433,Khyber Pakhtunkhwa
"Sandana, Tirah Valley",12/17/2010,Khyber,2010,7,33.790562,70.823364,Khyber Pakhtunkhwa
"Narai Baba, Tirah valley",12/17/2010,Khyber,2010,15,33.756313,70.7547,Khyber Pakhtunkhwa
"Shera Tala area, near Mir Ali",12/27/2010,North Waziristan,2010,21,32.957977,70.379791,Federally Administered Tribal Areas
"Machikhel, Mir Ali",12/27/2010,North Waziristan,2010,6,33.0291,70.2468,Federally Administered Tribal Areas
"Nawab village, in Ghulam Khan area",12/28/2010,North Waziristan,2010,10,33.016724,69.906006,Federally Administered Tribal Areas
"Ghulam Khan, 20 km north of Miram Shah",12/28/2010,North Waziristan,2010,8,33.029388,69.916992,Federally Administered Tribal Areas
"Ghulam Khan, 15km NW of Miram Shah",12/31/2010,North Waziristan,2010,8,33.037449,69.906006,Federally Administered Tribal Areas
"Mandi Khel, near Mir Ali",1/1/2011,North Waziristan,2011,9,33.02824,70.239716,Federally Administered Tribal Areas
"Ghoresti, near Mir Ali",1/1/2011,North Waziristan,2011,5,33.02824,70.236969,Federally Administered Tribal Areas
Boya village in Datta Khel,1/1/2011,North Waziristan,2011,4,32.957977,69.918365,Federally Administered Tribal Areas
"Ghar Laley, 22 miles west of Miram Shah",1/7/2011,North Waziristan,2011,5,32.997147,69.749451,Federally Administered Tribal Areas
"Haiderkhel, 15 miles east of Miram Shah",1/12/2011,North Waziristan,2011,4,33.009815,70.366058,Federally Administered Tribal Areas
"Asar village, 25 miles west of Miram Shah, Datta Khel",1/18/2011,North Waziristan,2011,5,33.004059,69.603882,Federally Administered Tribal Areas
"Doga Mada Khel, near Datta Khel",1/23/2011,North Waziristan,2011,4,32.994843,69.627228,Federally Administered Tribal Areas
"Doga Mada Khel, near Datta Khel",1/23/2011,North Waziristan,2011,3,32.99369,69.624481,Federally Administered Tribal Areas
"Mando Khel, 60km south of Miram Shah near Razmak",1/23/2011,North Waziristan,2011,6,32.691399,69.846954,Federally Administered Tribal Areas
"Kaza Panga village, 10 miles west of Wana",2/20/2011,South Waziristan,2011,8,32.313831,69.422607,Federally Administered Tribal Areas
"Spalga village, 12 miles south of Miram Shah",2/21/2011,North Waziristan,2011,8,33.040901,70.19989,Federally Administered Tribal Areas
